epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,2204.56,0.66761,0.42247,1.00536,0.87831,0.91278,0.86188,0.6794,0.83841,0.55985,1.09883,0.000317,0.000317,0.000317
87,2230.03,0.66317,0.41327,0.98903,0.87389,0.91471,0.85939,0.6734,0.84738,0.55916,1.11072,0.0002972,0.0002972,0.0002972
88,2255.45,0.67394,0.4149,1.00606,0.87666,0.90937,0.8634,0.67723,0.85519,0.5533,1.10538,0.0002774,0.0002774,0.0002774
89,2281.04,0.65844,0.41124,0.9907,0.8763,0.90956,0.8644,0.67895,0.85444,0.54571,1.10752,0.0002576,0.0002576,0.0002576
90,2306.73,0.65709,0.41542,0.994,0.86696,0.91838,0.86291,0.67956,0.84664,0.55247,1.10469,0.0002378,0.0002378,0.0002378
91,2331.34,0.66595,0.37453,0.99968,0.87532,0.91372,0.85903,0.67385,0.85392,0.54576,1.1106,0.000218,0.000218,0.000218
92,2355.73,0.6735,0.36502,1.01457,0.87316,0.91324,0.85702,0.67139,0.85129,0.55278,1.10677,0.0001982,0.0001982,0.0001982
93,2380.09,0.64673,0.33721,0.99092,0.87193,0.91324,0.8606,0.6764,0.8422,0.56756,1.1039,0.0001784,0.0001784,0.0001784
94,2404.46,0.65829,0.35268,1.00515,0.87569,0.9125,0.86284,0.67977,0.84325,0.54381,1.09961,0.0001586,0.0001586,0.0001586
95,2429.14,0.63961,0.33074,0.98464,0.876,0.91029,0.86138,0.67879,0.84476,0.54477,1.10743,0.0001388,0.0001388,0.0001388
96,2453.53,0.64716,0.33671,0.98578,0.87465,0.90441,0.85784,0.6768,0.83627,0.55508,1.09862,0.000119,0.000119,0.000119
97,2477.98,0.63999,0.32922,0.99719,0.86955,0.91691,0.86127,0.67939,0.83754,0.54584,1.10731,9.92e-05,9.92e-05,9.92e-05
98,2502.46,0.6354,0.32676,0.98819,0.86821,0.9155,0.85981,0.68029,0.83707,0.55039,1.10459,7.94e-05,7.94e-05,7.94e-05
99,2527.3,0.61936,0.32052,0.97255,0.87234,0.91449,0.85985,0.68118,0.82904,0.5434,1.09723,5.96e-05,5.96e-05,5.96e-05
100,2551.96,0.619,0.32013,0.98012,0.87361,0.91324,0.86067,0.68142,0.8317,0.54511,1.10059,3.98e-05,3.98e-05,3.98e-05
